Key,Description,Standard,EN,JP,SP,RS,FR,GR
SAY.Standard.2564.女生A,,"아, 차가워!","Oh gosh, it's so cold! ",あら、涼しい。,,,,
SAY.Standard.4818.女生B,,빨리 들어와!,"Come on, just jump in!",,,,,
SAY.Standard.4819.女生A,,아! 물속은 안락하네.,Woo! It is cozy down here.,,,,,
SAY.Standard.2565.女生B,,얘들아! 내 배영 좀 봐! ……………,"Hey, look! Check out my backstroke!  ...............",ははは、私の背泳ぎを見て!……,,,,
SAY.Standard.38.女生D,,"{vpunch=30}쳇, 오후에 사람이 이렇게 많을 줄이야. 시끄러워서 연습도 못 하겠네!","{vpunch=30}Damn, I didn't expect there to be this many people in the afternoon.  How can I practice with this much noise?!",{vpunch=30}午後はこんなに人が多いとは思いませんでした。うるさい!どうやって練習するの!,,,,
SAY.Standard.808.女生D,,대회가 다음 달이야. 연습을 많이 못 하면…,"The competition is next month. If I don't get enough practice, I'm going to...",来月は試合だから、練習を急がないと……,,,,
SAY.Standard.809.女生D,,아… 관두자!,Argh...  Forget it!,ああ…やめて!,,,,
SAY.Standard.810.女生D,,{vpunch=30}콩나물시루 같아. 내가 연습할 시간은 언제 날까?,{vpunch=30} It just like boiling dumplings in a pot. When am I going to get the time to practice !?,{vpunch=30}饺子を作るみたいにおならを練習しよう!,,,,
SAY.Standard.1773.女生D,,교실로 돌아가 공부해야겠다.,I'd rather go back to the classroom and read.,まず帰って自習しましょう!,,,,
SAY.Standard.3553.,,1일째,DAY 1,初日,,,,
SAY.Standard.4206.,,,,,,,,
SAY.Standard.53.王亚茹,,내 이름은 야루.,I'm Yaru.,私は王亜茹と申します。,,,,
SAY.Standard.813.王亚茹,,작년 주니어 자유형 시대회에서 우승했다.,Last year I won the city's junior freestyle championship.,昨年は市ジュニア自由形で優勝し、,,,,
SAY.Standard.814.王亚茹,,"그래서 시내 제일의 이 학교, 디링잉 고등학교에 특기생으로 들어올 수 있었다.","That's how I got into this high school, DiLingYing High, the top 1 high school in my city.",その後、特待生としてポイントX高校に入学する。,,,,
SAY.Standard.815.王亚茹,,올해 대회가 곧 시작하니 우승자 자리를 지켜야 해!,The new contest for this year will begin shortly. I need to defend my title!,今年も必ずタイトル防衛に成功します!,,,,
SAY.Standard.816.王亚茹,,（와… 저 둘은 아직도 수다 중이네.）,（Wow...  Those two are still gossiping. ）,（ん…暇があると、二人の八婆がククッと噂をしている。）,,,,
SAY.Standard.817.王亚茹,,（저렇게 떠들면 지치지도 않나?）,（Aren't they tired of talking so much?）,（つまらない!。）,,,,
SAY.Standard.822.王亚茹,,"（떠드니 책도 못 읽겠고, 오후에 연습도 못 하고. 젠장!）","（I can't read with them talking like that, and I didn't get to train this afternoon. Damn!）",（もともと本入ってこない、午後見せつけ水泳もできず、ついてないなあ!）,,,,
SAY.Standard.823.王亚茹,,（열받네. 대체 무슨 중요한 얘기라 잠시도 입을 못 다물지?）,"（This is infuriating, what exactly is so important that they can't shut up for a second?  ）",（あら、いい乾燥し、あわてて、かれらはいったいなに言った軍隊の?）,,,,
