Key,Description,Standard,EN,JP,SP,RS,FR,GR
MENU.Standard.4696,,넘기기,SKIP,,,,,
SAY.Standard.10.,,"우리 주위엔 항상 무엇인가 일어난다. \n 어떤 일은 예상대로고, 어떤 일은 예상과 다르고, 어떤 일은 기묘하기도 하다.","There's always something happening around us, \n some are expected, some are not, some are even bizarre.",いつもいくつかの事があって、私達の身の回りで発生して、\n はあるいは平板で、あるいは奇異で、千頭万緒、波乗りの雲はいわくがあります。,,,,
SAY.Standard.12.,,우리는 그런 일을 보고 느낀다. \n 그다음에는?,"We see them and we feel them, \n And then?",見た、経験した、感じた、\nそして?,,,,
SAY.Standard.11.,,"하루하루 지나고, 일들은 생겼다 없어지고 \n 시간의 먼지 속에서 사라져 결국 잊힌다.","Days passed, they come and they go, \n disappear in the dust of time and got forgotten.",日一日が過ぎて、あれらの明るくて暗い瞬間、\n はすべて時間の尘に逃げ込むことを忘れています。,,,,
SAY.Standard.13.,,유일한 진실은 \n 그런 일들이 일어난다는 사실뿐이다.,"The only truth is, \n they did happen,",唯一の事実は\nが実際に起こったことです,,,,
SAY.Standard.79.,,"그해, 그날 \n 그 특정한 순간에","on that year,  that day, \n at that specific moment, ",その年、その日、\n の点のこの時間座標で、\n が起こっていた。,,,,
SAY.Standard.3149.,,일어나고 있다.,happening.,が発生している。,,,,
SAY.Standard.18.,,,,,,,,
SETTEXT.Standard.3939,主界面-开始按钮,시작,START,ゲームを始める,,,,
SETTEXT.Standard.3938,主界面-设置按钮,설정,SETTING,オプション設定,,,,
SETTEXT.Standard.3937,主界面-退出按钮,종료,QUIT,退出ゲーム,,,,
SETTEXT.Standard.3934,作者信息界面-标题,크레디트,CREDITS,開発者,,,,
SETTEXT.Standard.3935,作者信息界面-信息,"플레이해 줘서 고맙습니다! 이 게임은 CASCHA와 JOEY가 만들었습니다. JOEY는 아트와 스토리, CASCHA는 코딩/시각 표현/효과음/음악을 맡았습니다. \n ---------------- \n 게임을 마무리하고 다듬는 데 도움을 준 다음 분들께 특히 감사합니다. \n Heheming \n 有栖 \n Richard Turek \n Lin ShaoWen \n Ivan \n \n\n*한국어 번역: anemochore","Thank you very much for play our game! \n This game is developed by CASCHA and JOEY. \n JOEY is responsible for the Art and story part, \n CASCHA is responsible for coding/visual performance/sound effect/music. \n ----------------\n Special thanks to those who helped us complete and polish the game: \n Heheming \n 有栖 \n Richard Turek \n Lin ShaoWen \n Ivan \n",私たちのゲームを購入体験してくれてありがとう! \nこのゲームはcaschaジョーイと二人の共同開発を完了。\n 私たちの将来のより多くの独立したゲームをサポートし続けることを希望します。,,,,
SETTEXT.Standard.3941,设置界面-标题,설정,SETTING,オプション設定,,,,
SETTEXT.Standard.3943,设置界面-音乐音量,음악 볼륨,MUSIC VOLUME,音楽の音量,,,,
SETTEXT.Standard.3944,设置界面-声效音量,효과음 볼륨,SOUND EFFECT VOLUME,音効音量,,,,
SETTEXT.Standard.3946,设置界面-对话方式,대사,DIALOGUE,対話方式,,,,
SETTEXT.Standard.3945,设置界面-对话-手动,수동,MANUAL,手動,,,,
SETTEXT.Standard.3947,设置界面-对话-自动,자동,AUTO,自動,,,,
SETTEXT.Standard.3948,设置界面-语言,언어,LANGUAGE,言語,,,,
SETTEXT.Standard.3949,设置界面-开发人员,크레디트,CREDITS,開発者,,,,
SETTEXT.Standard.3979,设置-语言界面-标题,언어,LANGUAGE,,,,,
SETTEXT.Standard.3980,退出游戏界面-标题,종료,QUIT,,,,,
SETTEXT.Standard.3981,退出游戏界面-描述,종료하겠습니까?,ARE YOU SURE TO QUIT?,,,,,
SETTEXT.Standard.4700,设置游戏界面-分辨率,해상도,RESOLUTION,,,,,
SETTEXT.Standard.4701,设置游戏界面-窗口模式,창 모드,WINDOW MODE,,,,,
SETTEXT.Standard.3982,退出游戏界面-退出,종료,QUIT,,,,,
SETTEXT.Standard.3983,退出游戏界面-返回,취소,CANCEL,,,,,
SETTEXT.Standard.3984,删除存档界面-标题,경고,WARNING,,,,,
SETTEXT.Standard.3985,删除存档界面-描述,정말 현재 세이브를 삭제하겠습니까? \n 현재까지의 모든 진행 사항을 잃게 되므로 \n 재시작해야 합니다.,"Are you sure you want to delete the current save? \n You will lose all the game progress you have so far, \n Restart",,,,,
SETTEXT.Standard.3986,删除存档界面-删档,삭제,DELETE,,,,,
SETTEXT.Standard.3987,删除存档界面-返回,뒤로,BACK,,,,,
SETTEXT.Standard.4667,存档弹出界面下面的提醒文字,로드할 게임을 클릭하세요.,Click to load the game,,,,,
SETTEXT.Standard.4668,存档弹出界面的表头文字,이어서 할 세이브를 선택하세요.,Select the save you want to continue,,,,,
SETTEXT.Standard.4671,存档弹出界面的存档一,세이브 1,SAVE 1,,,,,
SETTEXT.Standard.4670,存档弹出界面的存档二,세이브 2,SAVE 2,,,,,
SETTEXT.Standard.4669,存档弹出界面的存档三,세이브 3,SAVE 3,,,,,
SETTEXT.Standard.4675,存档确认弹窗-标题存档,세이브,SAVE,,,,,
SETTEXT.Standard.4689,删除存档确认弹窗-标题,경고,WARNING,,,,,
SETTEXT.Standard.4690,删除存档确认弹窗-描述,현재 슬롯의 세이브가 삭제됩니다. \n 이 슬롯의 모든 진행 사항을 잃게 됩니다. \n 삭제할까요?,"This will delete your current save in the slot , \n you will lose the game progress from this slot \n And can not be restore. \n Sure to delete it?",,,,,
SETTEXT.Standard.4691,删除存档确认弹窗-按钮-删除,삭제,DELETE,,,,,
SETTEXT.Standard.4692,删除存档确认弹窗-按钮-返回,뒤로,BACK,,,,,
SETTEXT.Standard.4672,存档确认弹窗-按钮载入,로드,LOAD,,,,,
SETTEXT.Standard.4674,存档确认弹窗-提醒文字,로드할까요?,Sure to load the game?,,,,,
SETTEXT.Standard.4679,存档确认弹窗-按钮载入,생성,CREATE,,,,,
SETTEXT.Standard.4680,存档确认弹窗-提醒文字,새로 시작할까요?,Sure to start a new game?,,,,,
SETTEXT.Standard.4673,存档确认弹窗-按钮删除,삭제,DELETE,,,,,
SETTEXT._CommandCopyBuffer.7530,记事本界面-上一页,앞 페이지,,,,,,
CHARACTER.王芳,,팡,Fang,王芳,,,,
CHARACTER.孙燕,,얀,Yan,孙燕,,,,
CHARACTER.体育老师,,체육 교사,GYM Teacher,体育老师,,,,
CHARACTER.女生A,,학생 A,StudentA,女生A,,,,
CHARACTER.吴渑,,미안,Mian,吴渑,,,,
CHARACTER.女生C,,학생 C,StudentC,女生C,,,,
CHARACTER.女生D,,학생 D,StudentD,女生D,,,,
CHARACTER.肖月,,웨,Yue,肖月,,,,
CHARACTER.女生B,,학생 B,StudentB,女生B,,,,
CHARACTER.李琴,,친,Qin,李琴,,,,
CHARACTER.王亚茹,,야루,Yaru,亚茹,,,,
CHARACTER.恶鬼,,유령,GHOST,恶鬼,,,,
